Header file excluded from package: C:/Users/c13137/.mchp_packs/Microchip/AVR-Ex_DFP/2.9.197/xc8/avr/include/avr/ioavr16eb32.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\builtins.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\common.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\fuse.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\interrupt.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\io.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\lock.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\portpins.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\sfr_defs.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\avr\xmega.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\bits\alltypes.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\bits\stdint.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\features.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\inttypes.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\stdint.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\stdlib.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\avr\include\util\atomic.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\lib\gcc\avr\5.4.0\include\cci.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\lib\gcc\avr\5.4.0\include\stdbool.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\lib\gcc\avr\5.4.0\include\stddef.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\lib\gcc\avr\5.4.0\include\stdint.h
Header file excluded from package: c:\program files\microchip\xc8\v2.46\avr\lib\gcc\avr\5.4.0\include\xc.h
